#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_5195 -            340 1358374at2759        -            213   4.2e-77  257.4  30.8   1   1     5e-76   5.6e-73  244.0  30.8     2   208     9   269     8   274 0.78 -
augustus_predicted_1227 -            254 1358374at2759        -            213     6e-06   24.9  10.8   1   4      0.42   4.7e+02   -0.9   0.1    66    82    46    62    42    78 0.70 -
augustus_predicted_1227 -            254 1358374at2759        -            213     6e-06   24.9  10.8   2   4   1.1e-07   0.00012   20.6   0.4    63    95    88   120    75   127 0.87 -
augustus_predicted_1227 -            254 1358374at2759        -            213     6e-06   24.9  10.8   3   4    0.0044       4.9    5.6   0.5   146   159   128   140   119   149 0.84 -
augustus_predicted_1227 -            254 1358374at2759        -            213     6e-06   24.9  10.8   4   4     0.019        21    3.5   0.0    66   103   172   208   151   228 0.78 -
augustus_predicted_6491 -            549 1358374at2759        -            213     2e-05   23.2   2.6   1   2   1.1e-05     0.012   14.1   0.2    60    88    66    94    57   100 0.86 -
augustus_predicted_6491 -            549 1358374at2759        -            213     2e-05   23.2   2.6   2   2   0.00033      0.37    9.2   0.2    67    94   102   129    93   132 0.88 -
augustus_predicted_4007 -            717 1358374at2759        -            213   0.00064   18.3   0.5   1   2    0.0025       2.8    6.4   0.1    63    88   282   307   267   309 0.81 -
augustus_predicted_4007 -            717 1358374at2759        -            213   0.00064   18.3   0.5   2   2     9e-05       0.1   11.1   0.0    63    88   307   332   305   337 0.90 -
augustus_predicted_729  -            714 1358374at2759        -            213     0.012   14.1   4.5   1   2   0.00041      0.46    8.9   1.5    36    97    93   153    77   159 0.73 -
augustus_predicted_729  -            714 1358374at2759        -            213     0.012   14.1   4.5   2   2    0.0045       5.1    5.5   0.1    69    94   165   190   157   209 0.76 -
augustus_predicted_2783 -           1018 1358374at2759        -            213     0.026   13.0   0.1   1   2       5.6   6.3e+03   -4.6   0.4    19    44   426   452   424   456 0.55 -
augustus_predicted_2783 -           1018 1358374at2759        -            213     0.026   13.0   0.1   2   2   2.3e-05     0.026   13.0   0.1    61    86   987  1014   959  1017 0.77 -
augustus_predicted_2505 -            417 1358374at2759        -            213     0.033   12.7   0.6   1   2         2   2.3e+03   -3.1   0.1    31    53    48    70    35    82 0.47 -
augustus_predicted_2505 -            417 1358374at2759        -            213     0.033   12.7   0.6   2   2   4.8e-05     0.054   12.0   0.0    64    89   137   162   128   213 0.84 -
augustus_predicted_1827 -            467 1358374at2759        -            213       0.9    8.0  18.1   1   5      0.33   3.7e+02   -0.6   0.9    22    44   128   150   107   163 0.65 -
augustus_predicted_1827 -            467 1358374at2759        -            213       0.9    8.0  18.1   2   5    0.0002      0.22   10.0   0.2    53    88   261   297   236   300 0.84 -
augustus_predicted_1827 -            467 1358374at2759        -            213       0.9    8.0  18.1   3   5    0.0011       1.2    7.6   0.2    63    91   298   327   295   333 0.78 -
augustus_predicted_1827 -            467 1358374at2759        -            213       0.9    8.0  18.1   4   5      0.36   4.1e+02   -0.7   0.0    66    85   330   348   326   353 0.81 -
augustus_predicted_1827 -            467 1358374at2759        -            213       0.9    8.0  18.1   5   5     0.046        52    2.2   0.4    59    85   350   377   341   393 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../../stats/eukaryota_odb10/hmms/1358374at2759.hmm
# Target file:     /home/centos/br/bin/Brownotate-1.2.0/runs/b283acc0-5629-444b-ad7a-7147f201d246/annotation/augustus_annotation.faa
# Option settings: hmmsearch --domtblout /home/centos/br/bin/Brownotate-1.2.0/runs/b283acc0-5629-444b-ad7a-7147f201d246/busco_annotation/run_eukaryota_odb10/hmmer_output/initial_run_results/1358374at2759.out --cpu 1 ../../stats/eukaryota_odb10/hmms/1358374at2759.hmm /home/centos/br/bin/Brownotate-1.2.0/runs/b283acc0-5629-444b-ad7a-7147f201d246/annotation/augustus_annotation.faa 
# Current dir:     /home/centos/br/bin/Brownotate-1.2.0/runs/b283acc0-5629-444b-ad7a-7147f201d246
# Date:            Sat Aug 24 02:31:57 2024
# [ok]
