# BUSCO version is: 5.7.1 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	augustus_predicted_6856	2133.3	1422
83779at2759	Complete	augustus_predicted_3907	237.4	210
87842at2759	Complete	augustus_predicted_2532	599.6	607
97116at2759	Complete	augustus_predicted_7990	1183.4	954
100698at2759	Complete	augustus_predicted_3209	816.0	497
142542at2759	Complete	augustus_predicted_1787	585.2	657
156083at2759	Complete	augustus_predicted_5806	3572.8	1937
160593at2759	Complete	augustus_predicted_4727	1420.4	1161
166920at2759	Complete	augustus_predicted_6487	712.1	753
176625at2759	Complete	augustus_predicted_6483	315.5	437
179362at2759	Complete	augustus_predicted_3966	747.8	937
245208at2759	Complete	augustus_predicted_2683	1495.2	849
257318at2759	Complete	augustus_predicted_216	318.9	280
261328at2759	Complete	augustus_predicted_1407	389.2	421
261419at2759	Complete	augustus_predicted_287	312.9	492
270107at2759	Complete	augustus_predicted_8529	579.2	529
271586at2759	Complete	augustus_predicted_1121	234.9	387
290630at2759	Fragmented	augustus_predicted_7444	324.0	203
293315at2759	Complete	augustus_predicted_4635	638.8	597
296129at2759	Complete	augustus_predicted_1277	1072.0	695
299766at2759	Complete	augustus_predicted_3680	478.6	437
306227at2759	Complete	augustus_predicted_7929	467.9	431
320059at2759	Complete	augustus_predicted_2558	860.1	450
324863at2759	Complete	augustus_predicted_6167	581.1	563
325552at2759	Complete	augustus_predicted_8627	398.8	335
330169at2759	Complete	augustus_predicted_3997	292.0	318
331411at2759	Complete	augustus_predicted_5446	349.8	393
341721at2759	Complete	augustus_predicted_8330	309.4	374
345441at2759	Complete	augustus_predicted_3365	453.0	379
355408at2759	Complete	augustus_predicted_311	775.6	549
369837at2759	Complete	augustus_predicted_3896	309.9	361
375960at2759	Complete	augustus_predicted_8619	214.2	311
383503at2759	Complete	augustus_predicted_3029	318.6	333
388820at2759	Complete	augustus_predicted_3308	417.3	407
390348at2759	Complete	augustus_predicted_8448	1156.1	699
392369at2759	Complete	augustus_predicted_7887	408.5	340
396755at2759	Complete	augustus_predicted_6051	408.2	649
418107at2759	Complete	augustus_predicted_3372	453.4	325
