#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_3512 -            514 1173229at2759        -            211   5.8e-18   63.4   4.4   1   4       0.7        83    0.8   0.0    11    30    55    75    45    82 0.87 -
augustus_predicted_3512 -            514 1173229at2759        -            211   5.8e-18   63.4   4.4   2   4   0.00021     0.025   12.3   0.1    27    57   148   179   145   193 0.80 -
augustus_predicted_3512 -            514 1173229at2759        -            211   5.8e-18   63.4   4.4   3   4   0.00061     0.073   10.7   0.0    49   109   202   279   194   285 0.76 -
augustus_predicted_3512 -            514 1173229at2759        -            211   5.8e-18   63.4   4.4   4   4   1.6e-11   1.9e-09   35.5   0.3   106   179   295   381   290   423 0.65 -
augustus_predicted_3965 -            511 1173229at2759        -            211   1.2e-10   39.4   2.3   1   3   1.3e-06   0.00015   19.5   0.1    17    90   290   363   284   370 0.79 -
augustus_predicted_3965 -            511 1173229at2759        -            211   1.2e-10   39.4   2.3   2   3   0.00047     0.057   11.1   0.1    57    80   375   398   364   408 0.84 -
augustus_predicted_3965 -            511 1173229at2759        -            211   1.2e-10   39.4   2.3   3   3     0.013       1.5    6.5   0.0    61    90   430   459   423   463 0.85 -
augustus_predicted_4528 -            422 1173229at2759        -            211     1e-08   33.2   0.7   1   5       4.5   5.4e+02   -1.9   0.0    63    79   144   160   139   172 0.57 -
augustus_predicted_4528 -            422 1173229at2759        -            211     1e-08   33.2   0.7   2   5   2.1e-05    0.0025   15.5   0.0    59   102   211   253   200   276 0.86 -
augustus_predicted_4528 -            422 1173229at2759        -            211     1e-08   33.2   0.7   3   5       5.7   6.8e+02   -2.2   0.0    62    83   265   286   258   287 0.82 -
augustus_predicted_4528 -            422 1173229at2759        -            211     1e-08   33.2   0.7   4   5     0.011       1.3    6.7   0.0    62    82   310   330   296   339 0.86 -
augustus_predicted_4528 -            422 1173229at2759        -            211     1e-08   33.2   0.7   5   5     0.018       2.2    6.0   0.1    65    81   358   374   334   418 0.69 -
augustus_predicted_1349 -            460 1173229at2759        -            211   2.1e-08   32.1   3.6   1   6     0.064       7.7    4.1   0.1    54    86   108   140    95   141 0.76 -
augustus_predicted_1349 -            460 1173229at2759        -            211   2.1e-08   32.1   3.6   2   6    0.0021      0.25    9.0   0.0    27    67   141   181   132   187 0.82 -
augustus_predicted_1349 -            460 1173229at2759        -            211   2.1e-08   32.1   3.6   3   6      0.64        77    0.9   0.0    27    56   205   234   198   245 0.77 -
augustus_predicted_1349 -            460 1173229at2759        -            211   2.1e-08   32.1   3.6   4   6      0.49        59    1.3   0.0   167   205   270   317   245   321 0.66 -
augustus_predicted_1349 -            460 1173229at2759        -            211   2.1e-08   32.1   3.6   5   6   0.00012     0.014   13.1   0.0    10    83   337   410   329   425 0.75 -
augustus_predicted_1349 -            460 1173229at2759        -            211   2.1e-08   32.1   3.6   6   6       4.7   5.6e+02   -1.9   0.0    35    58   431   454   418   456 0.80 -
augustus_predicted_3655 -            640 1173229at2759        -            211   2.7e-08   31.7   4.9   1   3   1.1e-05    0.0014   16.4   1.3   111   206   342   451   309   456 0.77 -
augustus_predicted_3655 -            640 1173229at2759        -            211   2.7e-08   31.7   4.9   2   3     0.028       3.4    5.3   0.0   190   206   524   540   514   543 0.91 -
augustus_predicted_3655 -            640 1173229at2759        -            211   2.7e-08   31.7   4.9   3   3     0.011       1.3    6.7   0.1    64    92   565   593   560   640 0.66 -
augustus_predicted_754  -            714 1173229at2759        -            211   2.1e-07   28.9   3.5   1   3       1.2   1.4e+02    0.0   0.0    63    80   455   472   438   483 0.66 -
augustus_predicted_754  -            714 1173229at2759        -            211   2.1e-07   28.9   3.5   2   3   1.4e-08   1.7e-06   25.9   0.2    62   187   513   644   509   656 0.84 -
augustus_predicted_754  -            714 1173229at2759        -            211   2.1e-07   28.9   3.5   3   3       1.7     2e+02   -0.5   0.0    60    76   696   712   681   714 0.64 -
augustus_predicted_5015 -            303 1173229at2759        -            211   2.5e-07   28.6   5.6   1   6      0.35        41    1.8   0.0   188   204     2    18     1    23 0.88 -
augustus_predicted_5015 -            303 1173229at2759        -            211   2.5e-07   28.6   5.6   2   6      0.46        56    1.3   0.0    85   110    39    64    32    78 0.81 -
augustus_predicted_5015 -            303 1173229at2759        -            211   2.5e-07   28.6   5.6   3   6   0.00036     0.043   11.5   0.1    54    80    80   106    69   110 0.84 -
augustus_predicted_5015 -            303 1173229at2759        -            211   2.5e-07   28.6   5.6   4   6    0.0029      0.35    8.5   0.0    64   108   131   181   124   185 0.80 -
augustus_predicted_5015 -            303 1173229at2759        -            211   2.5e-07   28.6   5.6   5   6       2.1   2.5e+02   -0.8   0.0   190   206   221   237   217   241 0.88 -
augustus_predicted_5015 -            303 1173229at2759        -            211   2.5e-07   28.6   5.6   6   6      0.29        34    2.0   0.0   153   178   256   281   247   286 0.62 -
