#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_2059 -            513 671536at2759         -            369  7.9e-122  405.0   6.9   1   3   1.7e-18   5.1e-16   56.8   0.9     3    96    26   138    24   153 0.80 -
augustus_predicted_2059 -            513 671536at2759         -            369  7.9e-122  405.0   6.9   2   3  3.8e-104  1.2e-101  338.6   0.1    95   358   180   474   167   480 0.91 -
augustus_predicted_2059 -            513 671536at2759         -            369  7.9e-122  405.0   6.9   3   3   0.00011     0.033   11.3   0.0   352   368   492   508   480   509 0.88 -
augustus_predicted_2397 -            312 671536at2759         -            369   3.9e-71  238.2   0.0   1   1   1.7e-73   5.2e-71  237.8   0.0   131   354    49   283    39   288 0.90 -
augustus_predicted_98   -            369 671536at2759         -            369   3.3e-68  228.5   0.1   1   1   1.4e-70   4.1e-68  228.2   0.1   140   366   111   349    89   352 0.88 -
augustus_predicted_53   -            377 671536at2759         -            369     8e-68  227.3   0.2   1   1   3.3e-70     1e-67  227.0   0.2   140   366   119   357    95   360 0.88 -
augustus_predicted_275  -            308 671536at2759         -            369   8.9e-65  217.3   0.1   1   1   3.8e-67   1.1e-64  216.9   0.1   140   355    45   272     4   279 0.86 -
augustus_predicted_3219 -            549 671536at2759         -            369   8.4e-62  207.5   0.2   1   1   4.4e-64   1.3e-61  206.8   0.2   129   354   285   521   276   526 0.89 -
augustus_predicted_5050 -            368 671536at2759         -            369   5.4e-58  194.9   0.6   1   1   7.8e-60   2.4e-57  192.8   0.6   133   355    38   284    25   291 0.83 -
augustus_predicted_3835 -            692 671536at2759         -            369   5.6e-58  194.9   0.1   1   1   2.7e-60   8.1e-58  194.4   0.1   124   354   398   639   296   643 0.84 -
augustus_predicted_576  -            710 671536at2759         -            369   1.1e-57  193.9   0.1   1   1   5.4e-60   1.6e-57  193.3   0.1   131   354   440   674   426   678 0.89 -
augustus_predicted_174  -            311 671536at2759         -            369   9.8e-57  190.8   0.0   1   1     4e-59   1.2e-56  190.5   0.0   139   355    46   276    10   285 0.85 -
augustus_predicted_2859 -            553 671536at2759         -            369   5.4e-55  185.1   0.6   1   1   2.8e-56   8.4e-54  181.1   0.6   138   356   112   361    73   373 0.80 -
augustus_predicted_3802 -            604 671536at2759         -            369   3.2e-54  182.5   0.3   1   2   4.2e-45   1.3e-42  144.3   0.1   136   284   135   290    98   295 0.85 -
augustus_predicted_3802 -            604 671536at2759         -            369   3.2e-54  182.5   0.3   2   2   3.3e-12     1e-09   36.1   0.0   288   356   329   403   315   414 0.88 -
augustus_predicted_1142 -            589 671536at2759         -            369   3.3e-12   44.3  16.3   1   4   4.7e-08   1.4e-05   22.4   0.1     4   118    20   147    17   161 0.61 -
augustus_predicted_1142 -            589 671536at2759         -            369   3.3e-12   44.3  16.3   2   4     0.025       7.6    3.6   0.7    74   100   262   288   242   308 0.78 -
augustus_predicted_1142 -            589 671536at2759         -            369   3.3e-12   44.3  16.3   3   4    0.0052       1.6    5.8   0.7     3    50   276   328   274   344 0.79 -
augustus_predicted_1142 -            589 671536at2759         -            369   3.3e-12   44.3  16.3   4   4   1.9e-08   5.8e-06   23.7   2.4     7    79   414   499   408   537 0.76 -
augustus_predicted_1125 -            346 671536at2759         -            369   6.1e-08   30.2   1.4   1   1   3.1e-10   9.4e-08   29.6   1.4     7    61   120   180   112   226 0.81 -
augustus_predicted_4498 -            385 671536at2759         -            369   9.1e-05   19.8   0.8   1   1   5.3e-07   0.00016   19.0   0.4     8    64   111   173   104   197 0.76 -
augustus_predicted_4841 -            326 671536at2759         -            369    0.0003   18.1   0.3   1   1   1.5e-06   0.00047   17.5   0.3   130   207    53   132    47   146 0.81 -
augustus_predicted_2716 -           2063 671536at2759         -            369    0.0077   13.4   0.1   1   1     5e-05     0.015   12.5   0.1    65   131  1074  1138  1062  1143 0.89 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../../stats/eukaryota_odb10/hmms/671536at2759.hmm
# Target file:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa
# Option settings: hmmsearch --domtblout /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/busco_annotation/run_eukaryota_odb10/hmmer_output/initial_run_results/671536at2759.out --cpu 1 ../../stats/eukaryota_odb10/hmms/671536at2759.hmm /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa 
# Current dir:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7
# Date:            Thu Aug 22 20:16:26 2024
# [ok]
