#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_1797 -           2672 160593at2759         -           1419         0 1342.1  29.4   1   6   4.9e-06    0.0042   13.1   0.2     2   112   284   396   283   419 0.66 -
augustus_predicted_1797 -           2672 160593at2759         -           1419         0 1342.1  29.4   2   6       1.1   9.2e+02   -4.6   0.3   138   248   513   620   477   644 0.62 -
augustus_predicted_1797 -           2672 160593at2759         -           1419         0 1342.1  29.4   3   6   1.8e-05     0.015   11.3   0.7   158   209   775   824   747   979 0.76 -
augustus_predicted_1797 -           2672 160593at2759         -           1419         0 1342.1  29.4   4   6         0         0 1134.8   5.7   320  1210  1181  2123  1169  2138 0.89 -
augustus_predicted_1797 -           2672 160593at2759         -           1419         0 1342.1  29.4   5   6   1.6e-60   1.4e-57  193.7   0.3  1185  1398  2140  2379  2131  2395 0.83 -
augustus_predicted_1797 -           2672 160593at2759         -           1419         0 1342.1  29.4   6   6    0.0031       2.6    3.9   0.0   697   772  2525  2600  2510  2614 0.90 -
augustus_predicted_5008 -           1044 160593at2759         -           1419   3.2e-47  159.4   1.3   1   1   4.9e-50   4.2e-47  159.0   1.3   489   770    49   332     4   341 0.88 -
augustus_predicted_2711 -           1044 160593at2759         -           1419   7.4e-44  148.2   2.2   1   1   1.1e-46   9.8e-44  147.8   2.2   488   769    48   331     4   341 0.86 -
augustus_predicted_3178 -           1196 160593at2759         -           1419   2.3e-27   93.6   0.9   1   1   3.8e-30   3.2e-27   93.1   0.9   485   755   179   459   173   473 0.90 -
augustus_predicted_4381 -            918 160593at2759         -           1419   5.6e-08   29.3   0.0   1   2     1e-08   8.7e-06   22.0   0.0   549   645   402   498   393   505 0.82 -
augustus_predicted_4381 -            918 160593at2759         -           1419   5.6e-08   29.3   0.0   2   2   0.00079      0.68    5.8   0.0   829   874   491   535   484   547 0.84 -
augustus_predicted_1209 -            761 160593at2759         -           1419    0.0052   12.8   0.1   1   1   8.6e-06    0.0074   12.3   0.1   821   942   362   486   349   508 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../../stats/eukaryota_odb10/hmms/160593at2759.hmm
# Target file:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa
# Option settings: hmmsearch --domtblout /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/busco_annotation/run_eukaryota_odb10/hmmer_output/initial_run_results/160593at2759.out --cpu 1 ../../stats/eukaryota_odb10/hmms/160593at2759.hmm /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa 
# Current dir:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7
# Date:            Thu Aug 22 20:16:24 2024
# [ok]
