#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_4932 -           1468 293315at2759         -            638  1.9e-167  556.5  12.4   1   6     0.011        12    2.2   0.0     2    21   352   373   351   383 0.84 -
augustus_predicted_4932 -           1468 293315at2759         -            638  1.9e-167  556.5  12.4   2   6   2.9e-07   0.00029   17.4   0.0    24    81   423   502   404   534 0.70 -
augustus_predicted_4932 -           1468 293315at2759         -            638  1.9e-167  556.5  12.4   3   6   7.4e-14   7.6e-11   39.1   0.1   114   193   612   720   599   725 0.78 -
augustus_predicted_4932 -           1468 293315at2759         -            638  1.9e-167  556.5  12.4   4   6   9.3e-23   9.6e-20   68.5   0.0   196   254   759   817   738   822 0.88 -
augustus_predicted_4932 -           1468 293315at2759         -            638  1.9e-167  556.5  12.4   5   6    4e-130  4.1e-127  423.2   2.1   249   598   834  1249   827  1257 0.85 -
augustus_predicted_4932 -           1468 293315at2759         -            638  1.9e-167  556.5  12.4   6   6    0.0055       5.6    3.2   0.0   599   634  1329  1364  1311  1368 0.74 -
augustus_predicted_127  -           1097 293315at2759         -            638   1.7e-56  189.9   2.7   1   3   1.2e-06    0.0012   15.3   0.0   115   154   376   415   356   469 0.83 -
augustus_predicted_127  -           1097 293315at2759         -            638   1.7e-56  189.9   2.7   2   3     1e-18     1e-15   55.2   0.1   187   304   516   633   488   638 0.82 -
augustus_predicted_127  -           1097 293315at2759         -            638   1.7e-56  189.9   2.7   3   3   1.3e-37   1.4e-34  117.6   0.2   305   581   658   975   651  1009 0.84 -
augustus_predicted_3231 -           1504 293315at2759         -            638   7.1e-32  108.6   4.8   1   3    0.0048       4.9    3.4   0.0   115   154   742   781   711   803 0.86 -
augustus_predicted_3231 -           1504 293315at2759         -            638   7.1e-32  108.6   4.8   2   3   6.5e-13   6.7e-10   36.0   0.1   253   298   948   994   869  1024 0.78 -
augustus_predicted_3231 -           1504 293315at2759         -            638   7.1e-32  108.6   4.8   3   3   4.8e-23     5e-20   69.5   0.4   328   591  1075  1374  1035  1413 0.75 -
augustus_predicted_4803 -           2222 293315at2759         -            638   3.2e-07   27.2   2.4   1   4      0.35   3.6e+02   -2.8   0.4   474   507   600   633   595   641 0.89 -
augustus_predicted_4803 -           2222 293315at2759         -            638   3.2e-07   27.2   2.4   2   4   7.8e-09     8e-06   22.5   0.0   320   394   805   879   802   884 0.93 -
augustus_predicted_4803 -           2222 293315at2759         -            638   3.2e-07   27.2   2.4   3   4     0.099     1e+02   -0.9   0.0   424   475   945  1010   932  1026 0.68 -
augustus_predicted_4803 -           2222 293315at2759         -            638   3.2e-07   27.2   2.4   4   4     0.017        17    1.6   0.0   372   443  1844  1920  1796  1952 0.78 -
augustus_predicted_3660 -            326 293315at2759         -            638      0.01   12.3   0.7   1   2     0.087        89   -0.8   0.0   458   509   139   191   135   200 0.78 -
augustus_predicted_3660 -            326 293315at2759         -            638      0.01   12.3   0.7   2   2   2.4e-05     0.025   11.0   0.1   432   532   225   323   196   326 0.84 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../../stats/eukaryota_odb10/hmms/293315at2759.hmm
# Target file:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa
# Option settings: hmmsearch --domtblout /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/busco_annotation/run_eukaryota_odb10/hmmer_output/initial_run_results/293315at2759.out --cpu 1 ../../stats/eukaryota_odb10/hmms/293315at2759.hmm /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa 
# Current dir:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7
# Date:            Thu Aug 22 20:16:23 2024
# [ok]
