#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
augustus_predicted_2502 -            663 341721at2759         -            387   6.2e-75  250.7  19.3   1   4   3.8e-21   4.9e-18   63.4   1.7     5   100   124   237   122   242 0.81 -
augustus_predicted_2502 -            663 341721at2759         -            387   6.2e-75  250.7  19.3   2   4   1.5e-11   1.9e-08   31.8   0.5   100   172   257   344   245   356 0.77 -
augustus_predicted_2502 -            663 341721at2759         -            387   6.2e-75  250.7  19.3   3   4   4.6e-38   5.9e-35  119.1   2.6   170   297   367   509   364   521 0.87 -
augustus_predicted_2502 -            663 341721at2759         -            387   6.2e-75  250.7  19.3   4   4   1.3e-14   1.7e-11   41.8   0.0   295   385   545   652   542   654 0.80 -
augustus_predicted_3490 -            552 341721at2759         -            387   2.8e-07   27.9   3.0   1   2   0.00047       0.6    7.1   0.3   296   347   358   411   317   445 0.69 -
augustus_predicted_3490 -            552 341721at2759         -            387   2.8e-07   27.9   3.0   2   2   2.1e-08   2.7e-05   21.4   0.2   348   385   445   482   426   484 0.85 -
augustus_predicted_261  -           1025 341721at2759         -            387    0.0012   16.0  12.6   1   3     8e-05       0.1    9.6   0.2   295   359   639   709   554   727 0.73 -
augustus_predicted_261  -           1025 341721at2759         -            387    0.0012   16.0  12.6   2   3   1.6e-06     0.002   15.2   0.0   351   385   728   762   722   764 0.91 -
augustus_predicted_261  -           1025 341721at2759         -            387    0.0012   16.0  12.6   3   3         4   5.1e+03   -8.5   6.1   177   205   974  1002   966  1008 0.63 -
augustus_predicted_1646 -            704 341721at2759         -            387    0.0022   15.1   0.0   1   1   3.5e-06    0.0045   14.1   0.0   178   225   589   636   586   644 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../../stats/eukaryota_odb10/hmms/341721at2759.hmm
# Target file:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa
# Option settings: hmmsearch --domtblout /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/busco_annotation/run_eukaryota_odb10/hmmer_output/initial_run_results/341721at2759.out --cpu 1 ../../stats/eukaryota_odb10/hmms/341721at2759.hmm /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7/annotation/augustus_annotation.faa 
# Current dir:     /home/centos/br/bin/Brownotate-1.2.0/runs/584a0dab-d3a4-4320-afed-b310965cc1e7
# Date:            Thu Aug 22 20:16:23 2024
# [ok]
